id,type,address,number,Region,Province,Arrondissement,Municipality,type.1,postal_code,public,available,hours,numberStr,"('Latitude', 'Longitude')"
10910.0,Appareil Fixe-Vast Apparaat,Rue Des Entrepreneurs,,Wallonia,Namur,Namur,Namur,Appareil Fixe-Vast Apparaat,5020.0,Yes,Yes,,,"(50.4853501, 4.8039192)"
10911.0,Appareil Fixe-Vast Apparaat,Patroonschapstraat,5.0,Flanders,Vlaams-Brabant,Leuven,Leuven,Appareil Fixe-Vast Apparaat,3010.0,Yes,Yes,,5.0,"(50.8842375, 4.7242635)"
10912.0,Appareil Fixe-Vast Apparaat,Waversebaan,81.0,Flanders,Vlaams-Brabant,Leuven,Oud-Heverlee,Appareil Fixe-Vast Apparaat,3050.0,Yes,Yes,,81.0,"(50.8362032, 4.665438766186258)"
10913.0,Appareil Fixe-Vast Apparaat,Pastoor Tilemansstraat,4.0,Flanders,Vlaams-Brabant,Leuven,Oud-Heverlee,Appareil Fixe-Vast Apparaat,3050.0,Yes,Yes,,4.0,"(50.803273250000004, 4.64904722011912)"
10914.0,Appareil Fixe-Vast Apparaat,Egebhovenstraat,,Flanders,Vlaams-Brabant,Leuven,Bertem,Appareil Fixe-Vast Apparaat,3060.0,Yes,Yes,,,"(nan, nan)"
10915.0,Appareil Fixe-Vast Apparaat,Joseph Van Instraalt,37.0,Flanders,Antwerpen,Mechelen,Lier,Appareil Fixe-Vast Apparaat,2500.0,Yes,Yes,,37.0,"(nan, nan)"
10916.0,Appareil Fixe-Vast Apparaat,Middelkouter,10.0,Flanders,Oost-Vlaanderen,Aalst,Haaltert,Appareil Fixe-Vast Apparaat,9450.0,Yes,Yes,,10.0,"(50.900193900000005, 4.007707844296391)"
10917.0,Appareil Fixe-Vast Apparaat,Dwarsstraat,69.0,Flanders,Oost-Vlaanderen,Aalst,Haaltert,Appareil Fixe-Vast Apparaat,9450.0,Yes,Yes,,69.0,"(50.885635, 4.076843839258626)"
10918.0,Appareil Fixe-Vast Apparaat,Edestraat,99.0,Flanders,Oost-Vlaanderen,Aalst,Haaltert,Appareil Fixe-Vast Apparaat,9450.0,Yes,Yes,,99.0,"(50.909491349999996, 3.9879525789183092)"
10919.0,Appareil Fixe-Vast Apparaat,Kerksken Dorp,18.0,Flanders,Oost-Vlaanderen,Aalst,Haaltert,Appareil Fixe-Vast Apparaat,9450.0,Yes,Yes,,18.0,"(nan, nan)"
10920.0,Appareil Fixe-Vast Apparaat,Keiberg,73.0,Flanders,Oost-Vlaanderen,Aalst,Haaltert,Appareil Fixe-Vast Apparaat,9450.0,Yes,Yes,,73.0,"(50.89701315000001, 3.9779819365983107)"
10921.0,Appareil Fixe-Vast Apparaat,Dries,51.0,Flanders,Oost-Vlaanderen,Aalst,Haaltert,Appareil Fixe-Vast Apparaat,9450.0,Yes,Yes,,51.0,"(50.89207725, 3.8517161012389787)"
10922.0,Appareil Fixe-Vast Apparaat,Edestraat,193.0,Flanders,Oost-Vlaanderen,Aalst,Haaltert,Appareil Fixe-Vast Apparaat,9450.0,Yes,Yes,,193.0,"(50.909982400000004, 3.979905960641745)"
10923.0,Appareil Fixe-Vast Apparaat,Huystraat,47.0,Flanders,Oost-Vlaanderen,Aalst,Haaltert,Appareil Fixe-Vast Apparaat,9450.0,Yes,Yes,,47.0,"(nan, nan)"
10924.0,Appareil Fixe-Vast Apparaat,Eigenstraat,141.0,Flanders,Oost-Vlaanderen,Aalst,Haaltert,Appareil Fixe-Vast Apparaat,9450.0,Yes,Yes,,141.0,"(50.886053, 4.0317576)"
10925.0,Appareil Fixe-Vast Apparaat,Bergstraat,70.0,Flanders,Oost-Vlaanderen,Aalst,Haaltert,Appareil Fixe-Vast Apparaat,9450.0,Yes,Yes,,70.0,"(50.92281855, 3.9682786954002776)"
10926.0,Appareil Fixe-Vast Apparaat,Vondel,14.0,Flanders,Oost-Vlaanderen,Aalst,Haaltert,Appareil Fixe-Vast Apparaat,9450.0,Yes,Yes,,14.0,"(50.9034467, 3.892165399124501)"
10898.0,Appareil Fixe-Vast Apparaat,Rie Du Geron,2.0,Wallonia,Namur,Namur,Andenne,Appareil Fixe-Vast Apparaat,5300.0,Yes,Yes,,2.0,"(nan, nan)"
10899.0,Appareil Fixe-Vast Apparaat,Liefdestraat,10.0,Flanders,Vlaams-Brabant,Leuven,Tienen,Appareil Fixe-Vast Apparaat,3300.0,Yes,Yes,,10.0,"(50.8082452, 4.9443196)"
10927.0,Appareil Fixe-Vast Apparaat,Mechelsestraat,84.0,Flanders,Vlaams-Brabant,Leuven,Leuven,Appareil Fixe-Vast Apparaat,3000.0,Yes,Yes,,84.0,"(50.8215361, 4.547132167872966)"
10927.0,Appareil Fixe-Vast Apparaat,Mechelsestraat,84.0,Flanders,Vlaams-Brabant,Leuven,Leuven,Appareil Fixe-Vast Apparaat,3000.0,Yes,Yes,,84.0,"(50.8215361, 4.547132167872966)"
10928.0,Appareil Fixe-Vast Apparaat,Liefdestraat,10.0,Flanders,Vlaams-Brabant,Leuven,Tienen,Appareil Fixe-Vast Apparaat,3300.0,Yes,Yes,,10.0,"(50.8082452, 4.9443196)"
10900.0,Appareil Fixe-Vast Apparaat,Rekollettenstraat,23.0,Flanders,West-Vlaanderen,Kortrijk,Kortrijk,Appareil Fixe-Vast Apparaat,8500.0,Yes,Yes,,23.0,"(50.831743, 3.25846269240712)"
10929.0,Appareil Fixe-Vast Apparaat,Sint- Gabrielstraat,152.0,Flanders,Vlaams-Brabant,Halle-Vilvoorde,Liedekerke,Appareil Fixe-Vast Apparaat,1770.0,Yes,Yes,,152.0,"(50.864103, 4.0870474)"
7734.0,Appareil Fixe-Vast Apparaat,Oude Muilenstraat,10.0,Flanders,Vlaams-Brabant,Halle-Vilvoorde,Liedekerke,Appareil Fixe-Vast Apparaat,1770.0,Yes,Yes,,10.0,"(nan, nan)"
10930.0,Appareil Fixe-Vast Apparaat,Grote Markt,13.0,Flanders,West-Vlaanderen,Kortrijk,Menen,Appareil Fixe-Vast Apparaat,8930.0,Yes,Yes,,13.0,"(50.8094417, 3.185065199756335)"
10931.0,Appareil Fixe-Vast Apparaat,Oude Leielaan,83.0,Flanders,West-Vlaanderen,Kortrijk,Menen,Appareil Fixe-Vast Apparaat,8930.0,Yes,Yes,,83.0,"(50.795040549999996, 3.1187911439685307)"
10932.0,Appareil Fixe-Vast Apparaat,Oude Leielaan,15.0,Flanders,West-Vlaanderen,Kortrijk,Menen,Appareil Fixe-Vast Apparaat,8930.0,Yes,Yes,,15.0,"(50.79195025, 3.120990679641639)"
10933.0,Appareil Fixe-Vast Apparaat,Fabiolalaan,2.0,Flanders,West-Vlaanderen,Kortrijk,Menen,Appareil Fixe-Vast Apparaat,8930.0,Yes,Yes,,2.0,"(50.8599515, 3.3564426426020404)"
10934.0,Appareil Fixe-Vast Apparaat,Stationstraat,,Flanders,West-Vlaanderen,Kortrijk,Menen,Appareil Fixe-Vast Apparaat,8930.0,Yes,Yes,,,"(50.8121911, 3.1850068)"
10935.0,Appareil Fixe-Vast Apparaat,Kloosterstraat,15.0,Flanders,West-Vlaanderen,Ieper,Wervik,Appareil Fixe-Vast Apparaat,8940.0,Yes,Yes,,15.0,"(50.8123578, 3.0731498)"
10936.0,Appareil Fixe-Vast Apparaat,Koestraat,24.0,Flanders,West-Vlaanderen,Ieper,Wervik,Appareil Fixe-Vast Apparaat,8940.0,Yes,Yes,,24.0,"(50.8516566, 2.7177704561388714)"
10937.0,Appareil Fixe-Vast Apparaat,Deken Jonckheerestraat,,Flanders,West-Vlaanderen,Kortrijk,Wevelgem,Appareil Fixe-Vast Apparaat,8560.0,Yes,Yes,,,"(50.8060866, 3.1816671)"
10938.0,Appareil Fixe-Vast Apparaat,Deken Jonckheerestraat,,Flanders,West-Vlaanderen,Kortrijk,Wevelgem,Appareil Fixe-Vast Apparaat,8560.0,Yes,Yes,,,"(50.8060866, 3.1816671)"
10939.0,Appareil Fixe-Vast Apparaat,Deken Jonckheerestraat,,Flanders,West-Vlaanderen,Kortrijk,Wevelgem,Appareil Fixe-Vast Apparaat,8560.0,Yes,Yes,,,"(50.8060866, 3.1816671)"
10943.0,Appareil Fixe-Vast Apparaat,Akkerstraat,,Flanders,West-Vlaanderen,Tielt,Wingene,Appareil Fixe-Vast Apparaat,8750.0,Yes,Yes,,,"(51.043774, 3.2397153)"
10944.0,Appareil Fixe-Vast Apparaat,Kappellestraat,,Flanders,West-Vlaanderen,Brugge,Oostkamp,Appareil Fixe-Vast Apparaat,8020.0,Yes,Yes,,,"(nan, nan)"
10945.0,Appareil Fixe-Vast Apparaat,Dokterjacobstraat,67.0,Brussels,,Bruxelles-Capitale,Anderlecht,Appareil Fixe-Vast Apparaat,1070.0,Yes,Yes,,67.0,"(nan, nan)"
10946.0,Appareil Fixe-Vast Apparaat,Sainte-Adresseplein,12.0,Brussels,,Bruxelles-Capitale,Anderlecht,Appareil Fixe-Vast Apparaat,1070.0,Yes,Yes,,12.0,"(50.8381741, 4.305260024886705)"
10947.0,Appareil Fixe-Vast Apparaat,Ninoofsesteenweg,369.0,Brussels,,Bruxelles-Capitale,Anderlecht,Appareil Fixe-Vast Apparaat,1070.0,Yes,Yes,,369.0,"(50.8482517, 4.311597)"
10948.0,Appareil Fixe-Vast Apparaat,Bij Sint-Jacobs,15.0,Flanders,Oost-Vlaanderen,Gent,Gent,Appareil Fixe-Vast Apparaat,9000.0,Yes,Yes,,15.0,"(51.0566198, 3.7286775235883916)"
10949.0,Appareil Fixe-Vast Apparaat,Oosteindeken,36.0,Flanders,Oost-Vlaanderen,Sint-Niklaas,Lokeren,Appareil Fixe-Vast Apparaat,9160.0,Yes,Yes,,36.0,"(51.1508345, 3.973721290785379)"
10957.0,Appareil Fixe-Vast Apparaat,Westhavendam,,,,,,Appareil Fixe-Vast Apparaat,4510.0,Yes,Yes,,,"(nan, nan)"
10958.0,Appareil Fixe-Vast Apparaat,Bedrijvenlaan,9.0,Flanders,Antwerpen,Mechelen,Mechelen,Appareil Fixe-Vast Apparaat,2800.0,Yes,Yes,,9.0,"(51.002773399999995, 4.46581032834775)"
10959.0,Appareil Fixe-Vast Apparaat,Bedrijvenlaan,9.0,Flanders,Antwerpen,Mechelen,Mechelen,Appareil Fixe-Vast Apparaat,2800.0,Yes,Yes,,9.0,"(51.002773399999995, 4.46581032834775)"
12987.0,Appareil Fixe-Vast Apparaat,Chemin De L Alouette,0.0,Wallonia,Liège,Huy,Ferrières,Appareil Fixe-Vast Apparaat,4190.0,Yes,No,,0.0,"(50.4157997, 5.6310661)"
12988.0,Appareil Fixe-Vast Apparaat,Les Clos,3.0,Wallonia,Liège,Huy,Ferrières,Appareil Fixe-Vast Apparaat,4190.0,Yes,No,,3.0,"(nan, nan)"
11585.0,Appareil Fixe-Vast Apparaat,Grand Rue,52.0,Wallonia,Hainaut (le),Thuin,Thuin,Appareil Fixe-Vast Apparaat,6530.0,Yes,No,8H30 - 21H Sauf Vendredi De 8H30 - 16H,52.0,"(50.1426325, 4.270538086519341)"
11585.0,Appareil Fixe-Vast Apparaat,Grand Rue,52.0,Wallonia,Hainaut (le),Thuin,Thuin,Appareil Fixe-Vast Apparaat,6530.0,Yes,No,8H30 - 21H Sauf Vendredi De 8H30 - 16H,52.0,"(50.1426325, 4.270538086519341)"
11585.0,Appareil Fixe-Vast Apparaat,Grand Rue,52.0,Wallonia,Hainaut (le),Thuin,Thuin,Appareil Fixe-Vast Apparaat,6530.0,Yes,No,8H30 - 21H Sauf Vendredi De 8H30 - 16H,52.0,"(50.1426325, 4.270538086519341)"
12989.0,Appareil Fixe-Vast Apparaat,Overslag,1.0,Flanders,Oost-Vlaanderen,Gent,Wachtebeke,Appareil Fixe-Vast Apparaat,9185.0,Yes,Yes,,1.0,"(51.198058599999996, 3.8878680974999993)"
3372.0,Appareil Fixe-Vast Apparaat,Tussen â€˜T Pas,9.0,Flanders,Oost-Vlaanderen,Gent,Gent,Appareil Fixe-Vast Apparaat,9000.0,Yes,Yes,,9.0,"(nan, nan)"
3371.0,Appareil Fixe-Vast Apparaat,Jos Verdegemstraat,100.0,Flanders,Oost-Vlaanderen,Gent,Gent,Appareil Fixe-Vast Apparaat,9040.0,Yes,Yes,,100.0,"(51.05569975, 3.754174609181416)"
3369.0,Appareil Fixe-Vast Apparaat,Grote Huidevettershoek,8.0,Flanders,Oost-Vlaanderen,Gent,Gent,Appareil Fixe-Vast Apparaat,9000.0,Yes,Yes,,8.0,"(51.04930005, 3.72785080120571)"
12990.0,Appareil Fixe-Vast Apparaat,Zandpoortstraat,47.0,Flanders,Oost-Vlaanderen,Gent,Gent,Appareil Fixe-Vast Apparaat,9000.0,Yes,Yes,,47.0,"(51.049624050000006, 3.7176252789315596)"
12991.0,Appareil Fixe-Vast Apparaat,Coupure Links,55.0,Flanders,Oost-Vlaanderen,Gent,Gent,Appareil Fixe-Vast Apparaat,9000.0,Yes,Yes,,55.0,"(51.046367200000006, 3.718364853134796)"
12992.0,Appareil Fixe-Vast Apparaat,Grote Steenweg,,Flanders,Antwerpen,Antwerpen,Antwerpen,Appareil Fixe-Vast Apparaat,2600.0,Yes,Yes,,,"(51.1484208, 4.6381518)"
12993.0,Appareil Fixe-Vast Apparaat,Jozef Guislainstraat,,Flanders,Oost-Vlaanderen,Gent,Gent,Appareil Fixe-Vast Apparaat,9000.0,Yes,Yes,,,"(51.0657136, 3.7036982)"
12994.0,Appareil Fixe-Vast Apparaat,Heizijde,,Flanders,Antwerpen,Antwerpen,Antwerpen,Appareil Fixe-Vast Apparaat,2100.0,Yes,Yes,,,"(51.337833, 4.9265635)"
12995.0,Appareil Fixe-Vast Apparaat,Battelsesteenweg,,Flanders,Antwerpen,Mechelen,Mechelen,Appareil Fixe-Vast Apparaat,2800.0,Yes,Yes,,,"(51.0402795, 4.4459557)"
12996.0,Appareil Fixe-Vast Apparaat,Vorstlaan,23.0,Brussels,,Bruxelles-Capitale,Watermael-Boitsfort,Appareil Fixe-Vast Apparaat,1170.0,Yes,Yes,,23.0,"(50.801634, 4.4247961)"
12997.0,Appareil Fixe-Vast Apparaat,Diksmuidestraat,64.0,Flanders,Antwerpen,Turnhout,Turnhout,Appareil Fixe-Vast Apparaat,2300.0,Yes,Yes,,64.0,"(51.3238905, 4.9379438)"
12998.0,Appareil Fixe-Vast Apparaat,Vliegveld,37.0,Flanders,West-Vlaanderen,Kortrijk,Wevelgem,Appareil Fixe-Vast Apparaat,8560.0,Yes,Yes,,37.0,"(50.8186481, 3.203542631481109)"
12999.0,Appareil Fixe-Vast Apparaat,Waterven,12.0,Flanders,West-Vlaanderen,Kortrijk,Kortrijk,Appareil Fixe-Vast Apparaat,8501.0,Yes,Yes,,12.0,"(50.8340301, 3.219580127586952)"
13000.0,Appareil Fixe-Vast Apparaat,Steenstraat,14.0,Flanders,West-Vlaanderen,Kortrijk,Kortrijk,Appareil Fixe-Vast Apparaat,8501.0,Yes,Yes,,14.0,"(50.8605745, 3.314903828613744)"
13001.0,Appareil Fixe-Vast Apparaat,Kapelanielaan,7.0,Flanders,Oost-Vlaanderen,Sint-Niklaas,Temse,Appareil Fixe-Vast Apparaat,9140.0,Yes,Yes,,7.0,"(51.1369182, 4.183496286112964)"
13002.0,Appareil Fixe-Vast Apparaat,Nora Tilleylaan,42.0,Flanders,Antwerpen,Mechelen,Mechelen,Appareil Fixe-Vast Apparaat,2800.0,Yes,Yes,,42.0,"(51.0389649, 4.4601379)"
13003.0,Appareil Fixe-Vast Apparaat,Edegemsesteenweg,129.0,Flanders,Antwerpen,Antwerpen,Kontich,Appareil Fixe-Vast Apparaat,2550.0,Yes,Yes,,129.0,"(51.1422242, 4.4469842)"
13004.0,Appareil Fixe-Vast Apparaat,Keversstraat,26.0,Flanders,Limburg,Tongeren,Tongeren,Appareil Fixe-Vast Apparaat,3700.0,Yes,Yes,,26.0,"(50.78457405, 5.4602901645928394)"
13005.0,Appareil Fixe-Vast Apparaat,Hugo Verbieststraat,68.0,Flanders,West-Vlaanderen,Roeselare,Roeselare,Appareil Fixe-Vast Apparaat,8800.0,Yes,Yes,,68.0,"(nan, nan)"
13006.0,Appareil Fixe-Vast Apparaat,Groenstraat,170.0,Flanders,West-Vlaanderen,Roeselare,Roeselare,Appareil Fixe-Vast Apparaat,8800.0,Yes,Yes,,170.0,"(51.0260376, 3.1429389)"
13007.0,Appareil Fixe-Vast Apparaat,De Merodelei,220.0,Flanders,Antwerpen,Turnhout,Turnhout,Appareil Fixe-Vast Apparaat,2300.0,Yes,Yes,,220.0,"(51.3207635, 4.9274035)"
13008.0,Appareil Fixe-Vast Apparaat,Jozef Duthoystraat,34.0,Flanders,West-Vlaanderen,Kortrijk,Waregem,Appareil Fixe-Vast Apparaat,8790.0,Yes,Yes,,34.0,"(50.8834624, 3.4233354)"
13009.0,Appareil Fixe-Vast Apparaat,Onderwijslaan,4.0,Flanders,Oost-Vlaanderen,Aalst,Ninove,Appareil Fixe-Vast Apparaat,9400.0,Yes,Yes,,4.0,"(50.83298485, 4.0216667835325595)"
13009.0,Appareil Fixe-Vast Apparaat,Onderwijslaan,4.0,Flanders,Oost-Vlaanderen,Aalst,Ninove,Appareil Fixe-Vast Apparaat,9400.0,Yes,Yes,,4.0,"(50.83298485, 4.0216667835325595)"
13009.0,Appareil Fixe-Vast Apparaat,Onderwijslaan,4.0,Flanders,Oost-Vlaanderen,Aalst,Ninove,Appareil Fixe-Vast Apparaat,9400.0,Yes,Yes,,4.0,"(50.83298485, 4.0216667835325595)"
13010.0,Appareil Fixe-Vast Apparaat,Zandloperstraat,6.0,Flanders,Oost-Vlaanderen,Gent,Gent,Appareil Fixe-Vast Apparaat,9030.0,Yes,Yes,,6.0,"(51.0720439, 3.6791988)"
13011.0,Appareil Fixe-Vast Apparaat,Patersdreef,5.0,Flanders,West-Vlaanderen,Tielt,Tielt,Appareil Fixe-Vast Apparaat,8700.0,Yes,Yes,,5.0,"(50.9990241, 3.3254806)"
13012.0,Appareil Fixe-Vast Apparaat,Heiveldstraat,,Flanders,Oost-Vlaanderen,Gent,Gent,Appareil Fixe-Vast Apparaat,9040.0,Yes,Yes,,,"(51.0648372, 3.7612623)"
13013.0,Appareil Fixe-Vast Apparaat,Waarschootstraat,1.0,Flanders,Oost-Vlaanderen,Gent,Gent,Appareil Fixe-Vast Apparaat,9000.0,Yes,Yes,,1.0,"(51.04774315, 3.7171653082953235)"
13734.0,Appareil Fixe-Vast Apparaat,Osylei,86.0,Flanders,Antwerpen,Antwerpen,Mortsel,Appareil Fixe-Vast Apparaat,2640.0,Yes,Yes,,86.0,"(51.17763065, 4.456230385281067)"
15213.0,Appareil Fixe-Vast Apparaat,Rodestraat,19.0,Flanders,Antwerpen,Antwerpen,Antwerpen,Appareil Fixe-Vast Apparaat,2000.0,Yes,Yes,,19.0,"(51.223788, 4.414098475965997)"
15214.0,Appareil Fixe-Vast Apparaat,Stalhof,2.0,Flanders,Oost-Vlaanderen,Gent,Gent,Appareil Fixe-Vast Apparaat,9000.0,Yes,Yes,,2.0,"(51.0397348, 3.7272089)"
15215.0,Appareil Fixe-Vast Apparaat,Hoogstraat,35.0,Flanders,Antwerpen,Mechelen,Mechelen,Appareil Fixe-Vast Apparaat,2800.0,Yes,Yes,,35.0,"(51.00120445, 4.589125110177632)"
15216.0,Appareil Fixe-Vast Apparaat,Kerkstraat,5.0,Flanders,Antwerpen,Antwerpen,Niel,Appareil Fixe-Vast Apparaat,2845.0,Yes,Yes,,5.0,"(51.0759634, 4.790205150886446)"
15217.0,Appareil Fixe-Vast Apparaat,Kasteelstraat,53.0,Flanders,Limburg,Hasselt,Sint-Truiden,Appareil Fixe-Vast Apparaat,3800.0,Yes,Yes,,53.0,"(50.86511165, 5.198247222091661)"
15218.0,Appareil Fixe-Vast Apparaat,Pontstraat,51.0,Flanders,Oost-Vlaanderen,Aalst,Aalst,Appareil Fixe-Vast Apparaat,9300.0,Yes,Yes,,51.0,"(50.9357721, 4.042936974894209)"
14040.0,Appareil Fixe-Vast Apparaat,Bredabaan,479.0,Flanders,Antwerpen,Antwerpen,Brasschaat,Appareil Fixe-Vast Apparaat,2930.0,Yes,Yes,,479.0,"(51.38867675, 4.590385517839714)"
15219.0,Appareil Fixe-Vast Apparaat,Lagesteenweg,77.0,Flanders,Vlaams-Brabant,Halle-Vilvoorde,Grimbergen,Appareil Fixe-Vast Apparaat,1850.0,Yes,Yes,,77.0,"(50.93220745, 4.365462265622118)"
15220.0,Appareil Fixe-Vast Apparaat,Kloosterstraat,72.0,Flanders,Antwerpen,Antwerpen,Antwerpen,Appareil Fixe-Vast Apparaat,2660.0,Yes,Yes,,72.0,"(51.11314455, 4.851455122706422)"
15221.0,Appareil Fixe-Vast Apparaat,Ommegangstraat,2.0,Brussels,,Bruxelles-Capitale,Saint-Josse-ten-Noode,Appareil Fixe-Vast Apparaat,1000.0,Yes,Yes,,2.0,"(50.8529139, 4.3603261)"
15221.0,Appareil Fixe-Vast Apparaat,Ommegangstraat,2.0,Brussels,,Bruxelles-Capitale,Ixelles,Appareil Fixe-Vast Apparaat,1000.0,Yes,Yes,,2.0,"(50.8529139, 4.3603261)"
15221.0,Appareil Fixe-Vast Apparaat,Ommegangstraat,2.0,Brussels,,Bruxelles-Capitale,Bruxelles,Appareil Fixe-Vast Apparaat,1000.0,Yes,Yes,,2.0,"(50.8529139, 4.3603261)"
